trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06331189989577979,,0.02092479995917529,5,0.06331189989577979,0.06331189989577979,0.03744719992391765,12.423764999955893,[0.31],[0.15666666666666668],[1],[0],[0],[12.385939300060272],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
1,0,1,0,12.48463099997025,,12.429832499939948,10,12.48463099997025,12.48463099997025,0.04190969991032034,14.223214700003155,[0.0033333333333333335],[-0.19333333333333333],[1],[0],[0],[1.752195099950768],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
2,0,2,0,14.286253099911846,,14.225561999948695,10,14.286253099911846,14.286253099911846,0.03619229991454631,15.556488499976695,[0.4216666666666667],[-0.26],[1],[0],[0],[1.2949974000221118],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
3,0,3,0,15.602399199968204,,15.559049699921161,10,15.602399199968204,15.602399199968204,0.030799799947999418,17.706672700005583,[0.165],[0.4166666666666667],[1],[0],[0],[2.1172831999137998],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
4,0,4,0,17.753276799921878,,17.708972199936397,10,17.753276799921878,17.753276799921878,0.03150129993446171,18.9405769999139,[0.03166666666666667],[-0.17833333333333334],[1],[0],[0],[1.2002303000772372],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
5,0,5,0,19.00406429998111,,18.942966799950227,10,19.00406429998111,19.00406429998111,0.03357660002075136,20.541256199940108,[0.021666666666666667],[-0.21166666666666667],[0],[0],[1],[1.5650523999938741],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
6,0,6,0,20.587775499909185,,20.543554699979722,10,20.587775499909185,20.587775499909185,0.0311331000411883,24.109449099982157,[0.08333333333333333],[-0.045],[1],[0],[0],[3.535027700010687],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
7,0,7,0,24.13919359992724,,24.11192910000682,5,24.13919359992724,24.13919359992724,0.017987200058996677,25.49342129996512,[0.14],[-0.4583333333333333],[1],[0],[0],[1.3638715000124648],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
8,0,8,0,25.523066799971275,,25.495700099971145,5,25.523066799971275,25.523066799971275,0.01706980005837977,27.32749729999341,[0.49833333333333335],[-0.44333333333333336],[1],[0],[0],[1.8148973000934348],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
9,0,9,0,27.357068299897946,,27.32976599992253,5,27.357068299897946,27.357068299897946,0.017809800105169415,29.096566999913193,[0.0],[-0.28],[1],[0],[0],[1.7485024000052363],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
